Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,SayHello,14814,0,1,1.2210931078822334,0.949200002651196,7.759099993563723,24.0,753.2428837309194,0.0,1,1,1,1,1,2,2,2,6,8,8
,Aggregated,14814,0,1,1.2210931078822334,0.949200002651196,7.759099993563723,24.0,753.2428837309194,0.0,1,1,1,1,1,2,2,2,6,8,8
