Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
grpc,SayHello,14221,0,1,1.270470986557592,0.9436999971512705,8.650600000692066,24.0,723.2875206752934,0.0,1,1,1,1,2,2,2,2,6,8,9
,Aggregated,14221,0,1,1.270470986557592,0.9436999971512705,8.650600000692066,24.0,723.2875206752934,0.0,1,1,1,1,2,2,2,2,6,8,9
